time,phase,z_tof_real,z_tof_reported,z_est,vz_est,vz_cmd,x_tag,y_tag,x_est,y_est,tag_visible,kf_mode
7.583963871002197,blind_nav,2.12,2.62,2.0584650257065356,0.19399329583855843,0.198690738432059,,,1.4940382860203518,0.003304681340412864,False,prediction
7.694464921951294,blind_nav,2.14,2.64,2.0778643552903913,0.19399329583855843,0.18996104011932394,,,1.4940382860203518,0.003304681340412864,False,prediction
7.80774188041687,blind_nav,2.15,2.65,2.097263684874247,0.19399329583855843,0.18123134180658887,,,1.4940382860203518,0.003304681340412864,False,prediction
7.918327808380127,blind_nav,2.17,2.67,2.1166630144581027,0.19399329583855843,0.1725016434938538,,,1.4940382860203518,0.003304681340412864,False,prediction
8.031263828277588,blind_nav,2.2,2.7,2.1360623440419584,0.19399329583855843,0.16377194518111873,,,1.4940382860203518,0.003304681340412864,False,prediction
8.142330884933472,blind_nav,2.2,2.7,2.155461673625814,0.19399329583855843,0.15504224686838367,,,1.4940382860203518,0.003304681340412864,False,prediction
8.251673698425293,blind_nav,2.2,2.7,2.17486100320967,0.19399329583855843,0.1463125485556486,,,1.4940382860203518,0.003304681340412864,False,prediction
8.366641759872437,blind_nav,2.23,2.73,2.1942603327935255,0.19399329583855843,0.13758285024291353,,,1.4940382860203518,0.003304681340412864,False,prediction
8.47834587097168,blind_nav,2.24,2.74,2.213659662377381,0.19399329583855843,0.12885315193017846,,,1.4940382860203518,0.003304681340412864,False,prediction
8.58877682685852,blind_nav,2.24,2.74,2.233058991961237,0.19399329583855843,0.1201234536174434,,,1.4940382860203518,0.003304681340412864,False,prediction
8.701830863952637,blind_nav,2.26,2.76,2.2524583215450926,0.19399329583855843,0.11139375530470833,,,1.4940382860203518,0.003304681340412864,False,prediction
8.81178593635559,blind_nav,2.28,2.78,2.2718576511289483,0.19399329583855843,0.10266405699197326,,,1.4940382860203518,0.003304681340412864,False,prediction
8.923671007156372,blind_nav,2.27,2.77,2.291256980712804,0.19399329583855843,0.09393435867923819,,,1.4940382860203518,0.003304681340412864,False,prediction
9.03567385673523,blind_nav,2.28,2.78,2.3106563102966597,0.19399329583855843,0.08520466036650312,,,1.4940382860203518,0.003304681340412864,False,prediction
9.14884877204895,blind_nav,2.31,2.81,2.3300556398805155,0.19399329583855843,0.07647496205376805,,,1.4940382860203518,0.003304681340412864,False,prediction
9.259704828262329,blind_nav,2.31,2.81,2.349454969464371,0.19399329583855843,0.06774526374103298,,,1.4940382860203518,0.003304681340412864,False,prediction
9.371670007705688,blind_nav,2.31,2.81,2.368854299048227,0.19399329583855843,0.05901556542829791,,,1.4940382860203518,0.003304681340412864,False,prediction
9.479472875595093,blind_nav,2.34,2.84,2.3882536286320826,0.19399329583855843,0.05028586711556284,,,1.4940382860203518,0.003304681340412864,False,prediction
9.591348886489868,blind_nav,2.34,2.84,2.4076529582159383,0.19399329583855843,0.041556168802827774,,,1.4940382860203518,0.003304681340412864,False,prediction
9.702332973480225,blind_nav,2.33,2.83,2.427052287799794,0.19399329583855843,0.032826470490092706,,,1.4940382860203518,0.003304681340412864,False,prediction
9.812110900878906,blind_nav,2.34,2.84,2.4464516173836497,0.19399329583855843,0.02409677217735764,,,1.4940382860203518,0.003304681340412864,False,prediction
