mission_time,target_altitude,current_altitude,error,velocity_cmd,proportional,integral,derivative
15.602357149124146,1.5,1.59,-0.09000000000000008,-0.21849999999999997,-0.09000000000000008,0.07150000000000027,-0.20000000000000018
15.651557922363281,1.5,1.59,-0.09000000000000008,-0.01872499999999981,-0.09000000000000008,0.07127500000000027,0.0
15.70011305809021,1.5,1.58,-0.08000000000000007,0.19107500000000038,-0.08000000000000007,0.07107500000000026,0.20000000000000018
15.758311986923218,1.5,1.58,-0.08000000000000007,-0.0091249999999998,-0.08000000000000007,0.07087500000000027,0.0
15.808441877365112,1.5,1.59,-0.09000000000000008,-0.21935,-0.09000000000000008,0.07065000000000027,-0.20000000000000018
15.855263948440552,1.5,1.59,-0.09000000000000008,-0.0195749999999998,-0.09000000000000008,0.07042500000000028,0.0
15.903609991073608,1.5,1.59,-0.09000000000000008,-0.019799999999999804,-0.09000000000000008,0.07020000000000028,0.0
15.953508853912354,1.5,1.59,-0.09000000000000008,-0.020024999999999807,-0.09000000000000008,0.06997500000000027,0.0
16.003301858901978,1.5,1.6,-0.10000000000000009,-0.23027499999999998,-0.10000000000000009,0.06972500000000029,-0.20000000000000018
16.050938844680786,1.5,1.6,-0.10000000000000009,-0.030524999999999802,-0.10000000000000009,0.06947500000000029,0.0
16.10163903236389,1.5,1.6,-0.10000000000000009,-0.03077499999999979,-0.10000000000000009,0.0692250000000003,0.0
16.16030502319336,1.5,1.6,-0.10000000000000009,-0.03102499999999979,-0.10000000000000009,0.0689750000000003,0.0
16.210002899169922,1.5,1.58,-0.08000000000000007,0.3887750000000006,-0.08000000000000007,0.0687750000000003,0.40000000000000036
16.259034156799316,1.5,1.58,-0.08000000000000007,-0.011424999999999769,-0.08000000000000007,0.0685750000000003,0.0
16.308389902114868,1.5,1.58,-0.08000000000000007,-0.011624999999999774,-0.08000000000000007,0.0683750000000003,0.0
16.356807947158813,1.5,1.59,-0.09000000000000008,-0.22184999999999994,-0.09000000000000008,0.06815000000000031,-0.20000000000000018
16.407470226287842,1.5,1.59,-0.09000000000000008,-0.022074999999999775,-0.09000000000000008,0.0679250000000003,0.0
16.45439386367798,1.5,1.6,-0.10000000000000009,-0.23232499999999995,-0.10000000000000009,0.0676750000000003,-0.20000000000000018
16.503803968429565,1.5,1.6,-0.10000000000000009,-0.03257499999999977,-0.10000000000000009,0.06742500000000032,0.0
16.5525860786438,1.5,1.59,-0.09000000000000008,0.1772000000000004,-0.09000000000000008,0.06720000000000032,0.20000000000000018
16.603368997573853,1.5,1.59,-0.09000000000000008,-0.023024999999999754,-0.09000000000000008,0.06697500000000033,0.0
16.661702871322632,1.5,1.61,-0.1100000000000001,-0.44330000000000014,-0.1100000000000001,0.06670000000000031,-0.40000000000000036
16.709157943725586,1.5,1.61,-0.1100000000000001,-0.04357499999999978,-0.1100000000000001,0.06642500000000032,0.0
16.756572008132935,1.5,1.61,-0.1100000000000001,-0.04384999999999979,-0.1100000000000001,0.0661500000000003,0.0
16.802417993545532,1.5,1.61,-0.1100000000000001,-0.04412499999999979,-0.1100000000000001,0.06587500000000031,0.0
16.86163306236267,1.5,1.6,-0.10000000000000009,0.1656250000000004,-0.10000000000000009,0.06562500000000031,0.20000000000000018
16.908473253250122,1.5,1.6,-0.10000000000000009,-0.03462499999999977,-0.10000000000000009,0.06537500000000032,0.0
16.95791792869568,1.5,1.6,-0.10000000000000009,-0.03487499999999977,-0.10000000000000009,0.06512500000000032,0.0
17.007444143295288,1.5,1.6,-0.10000000000000009,-0.035124999999999754,-0.10000000000000009,0.06487500000000034,0.0
17.05323600769043,1.5,1.6,-0.10000000000000009,-0.035374999999999754,-0.10000000000000009,0.06462500000000033,0.0
