time,x_ref,y_ref,z_ref,x_meas,y_meas,z_meas,vx_cmd,vy_cmd,vz_cmd
1.962951898574829,0.3,0.3,2.0,0.3267333671803219,-0.025852515518024324,2.155979774999933,-0.024862031477699397,0.3,-0.14818078624993633
2.0196259021759033,0.3,0.3,2.0,0.32942536821823765,-0.023814137943361482,2.167218500270107,-0.027365592442961023,0.3,-0.15885757525660185
2.062598943710327,0.3,0.3,2.0,0.33350621054278007,-0.0170463437515089,2.182820092508081,-0.031160775804785476,0.3,-0.1736790878826771
2.106494903564453,0.3,0.3,2.0,0.3357316833194645,-0.01318118108914192,2.19008784849764,-0.03323046548710201,0.3,-0.18058345607275783
2.161914825439453,0.3,0.3,2.0,0.3392550157510693,-0.006892453584177486,2.2000133527144863,-0.03650716464849447,0.3,-0.19001268507876196
2.2191591262817383,0.3,0.3,2.0,0.34154889570653385,-0.0026693827092497684,2.2077705133202588,-0.038640473007076494,0.3,-0.1973819876542458
2.261448860168457,0.3,0.3,2.0,0.34453393156285955,0.004984120121558468,2.2144641466016557,-0.041416556353459394,0.3,-0.20374093927157289
2.3172647953033447,0.3,0.3,2.0,0.3462302068082217,0.008873690771932483,2.2180738803701296,-0.04299409233164619,0.3,-0.20717018635162315
2.361776828765869,0.3,0.3,2.0,0.3491732574346595,0.014879669168084102,2.2250755970914495,-0.04573112941423334,0.3,-0.21382181723687704
2.416783094406128,0.3,0.3,2.0,0.3499031030587212,0.01866805729542285,2.2236903473356464,-0.04640988584461072,0.3,-0.21250582996886408
2.4607291221618652,0.3,0.3,2.0,0.35196895309873166,0.028151614448797827,2.223727022510537,-0.04833112638182046,0.3,-0.21254067138501034
2.517426013946533,0.3,0.3,2.0,0.3542218525311249,0.03626502614473986,2.225210413060691,-0.050426322853946194,0.3,-0.21394989240765655
2.5613460540771484,0.3,0.3,2.0,0.35526356388839475,0.04014918181799022,2.224758604919766,-0.05139511441620713,0.3,-0.21352067467377756
2.6199190616607666,0.3,0.3,2.0,0.3561687143041085,0.04605102770057903,2.2232635199679347,-0.05223690430282093,0.3,-0.21210034396953795
2.663888931274414,0.3,0.3,2.0,0.35680145391190465,0.05417517142797265,2.213765356819175,-0.05282535213807134,0.3,-0.2030770889782163
2.7078750133514404,0.3,0.3,2.0,0.3570083258013628,0.05926757729922289,2.20779833843466,-0.05301774299526744,0.3,-0.19740842151292678
2.764120101928711,0.3,0.3,2.0,0.3576058408232806,0.06919151323098631,2.199357779364436,-0.05357343196565099,0.3,-0.1893898903962143
2.807888984680176,0.3,0.3,2.0,0.35788824720518836,0.074925026360853,2.194824879298797,-0.053836069900825186,0.29259746573089107,-0.18508363533385713
2.86323881149292,0.3,0.3,2.0,0.35764624485191154,0.08073019372901079,2.1890162087118323,-0.053611007712277746,0.2850507481522859,-0.1795653982762407
2.9138920307159424,0.3,0.3,2.0,0.35682308237259436,0.09396282507443421,2.175717515465706,-0.052845466606512764,0.2678483274032355,-0.1669316396924205
2.957425832748413,0.3,0.3,2.0,0.3558668074435111,0.10675445750876891,2.1639747430838083,-0.05195613092246536,0.2512192052386004,-0.1557760059296179
3.0145699977874756,0.3,0.3,2.0,0.35418558649621096,0.11417743719341385,2.1514635918582834,-0.0503925954414762,0.241569331648562,-0.14389041226536922
3.058576822280884,0.3,0.3,2.0,0.35148137922328704,0.1281549528433701,2.130429174170265,-0.047877682677656956,0.22339856130361885,-0.12390771546175154
3.1132919788360596,0.3,0.3,2.0,0.3513511022930576,0.13499184121299587,2.1279357297036574,-0.04775652513254359,0.21451060642310535,-0.12153894321847453
3.1680829524993896,0.3,0.3,2.0,0.3488869805245203,0.14313449929495792,2.110125852033426,-0.045464891887803865,0.2039251509165547,-0.10461955943175476
3.2129039764404297,0.3,0.3,2.0,0.3474471554821974,0.15105633895728834,2.0995764873857894,-0.04412585459844359,0.19362675935552515,-0.09459766301649991
3.26819109916687,0.3,0.3,2.0,0.34659360592479743,0.16537799881979628,2.0900500436221074,-0.04333205351006163,0.1750086015342648,-0.08554754144100207
3.308687210083008,0.3,0.3,2.0,0.3448130449026593,0.17302496441860224,2.076642105879922,-0.041676131759473156,0.16506754625581707,-0.07281000058592572
3.362720012664795,0.3,0.3,2.0,0.34264238329618213,0.18602849504271254,2.059694464224563,-0.039657416465449395,0.1481629564444737,-0.05670974101333499
3.4138009548187256,0.3,0.3,2.0,0.3416949140109326,0.19238658683336607,2.052393350497186,-0.038776270030167335,0.1398974371166241,-0.04977368297232656
3.4584498405456543,0.3,0.3,2.0,0.33898271316120615,0.20335475561614066,2.032531214859836,-0.036253923239921736,0.12563881769901714,-0.030904654116843996
3.5161569118499756,0.3,0.3,2.0,0.33831224890673545,0.20966505202410865,2.0267650710657086,-0.035630391483263975,0.11743543236865875,-0.02542681751242315
3.560720205307007,0.3,0.3,2.0,0.3371553157590146,0.22098030400195892,2.0158468244599628,-0.034554443655883574,0.1027256047974534,-0.015054483236964632
3.6156020164489746,0.3,0.3,2.0,0.3361268306131362,0.22598805304398425,2.007459637557592,-0.03359795247021667,0.09621553104282046,-0.007086655679712339
3.6584551334381104,0.3,0.3,2.0,0.33475755969014426,0.23539692382252622,1.9939525725132325,-0.03232453051183417,0.0839839990307159,0.005745056112429081
3.716078996658325,0.3,0.3,2.0,0.3333068986335789,0.23894349047305616,1.983638684786682,-0.030975415729228364,0.07937346238502699,0.015543249452652064
3.757923126220703,0.3,0.3,2.0,0.3323035838157167,0.2470652029558622,1.9718462709757663,-0.03004233294861652,0.06881523615737913,0.026746042573022055
3.8145899772644043,0.3,0.3,2.0,0.33199825000263533,0.2497989009071674,1.9669265131845424,-0.02975837250245087,0.06526142882068238,0.03141981247468475
3.866726875305176,0.3,0.3,2.0,0.3318145469300071,0.2550186425539385,1.9594276366936996,-0.02958752864490663,0.05847576467987991,0.03854374514098541
3.910853862762451,0.3,0.3,2.0,0.33148812844361947,0.25808008236523683,1.9538963207847029,-0.02928395945256612,0.05449589292519211,0.04379849525453226
3.9680278301239014,0.3,0.3,2.0,0.3313889657489621,0.2609985233903763,1.9470501402331797,-0.02919173814653476,0.05070191959251077,0.050302366778479296
4.012671947479248,0.3,0.3,2.0,0.33058646353225307,0.2625631838385726,1.9391204665335264,-0.02844541108499537,0.04866786100985564,0.05783555679314989
4.06823205947876,0.3,0.3,2.0,0.3306209237466732,0.26533046256991616,1.9315836739020855,-0.02847745908440607,0.04507039865910898,0.06499550979301875
4.114675045013428,0.3,0.3,2.0,0.3306209237466732,0.26533046256991616,1.9315836739020855,-0.02847745908440607,0.04507039865910898,0.06499550979301875
4.16817307472229,0.3,0.3,2.0,0.3314399928627835,0.26878712896846946,1.9287026885314347,-0.02923919336238864,0.04057673234098969,0.06773244589513706
4.211877107620239,0.3,0.3,2.0,0.3316860860166574,0.2711292213178735,1.921958477607271,-0.029468059995491385,0.03753201228676446,0.07413944627309264
4.266615152359009,0.3,0.3,2.0,0.33195668322591,0.2726801091188726,1.9147622550972792,-0.0297197154000963,0.03551585814546563,0.0809758576575848
4.311537981033325,0.3,0.3,2.0,0.3322169928742746,0.2727575662501649,1.9124678980833603,-0.02996180337307538,0.035415163874785625,0.08315549682080775
4.36740517616272,0.3,0.3,2.0,0.3337923167425509,0.2745112908386251,1.9114442715590823,-0.031426854570572337,0.03313532190978739,0.08412794201887186
4.412725925445557,0.3,0.3,2.0,0.3338114297599949,0.27459364003828124,1.907740040196486,-0.03144462967679526,0.03302826795023438,0.08764696181333838
4.469058036804199,0.3,0.3,2.0,0.33505072238815503,0.2749405360305396,1.906196759563965,-0.03259717182098419,0.032577303160298526,0.08911307841423319
4.513020992279053,0.3,0.3,2.0,0.33494801688610343,0.27389759712766454,1.9013613165703769,-0.0325016557040762,0.033933123734036084,0.09370674925814196
4.57034707069397,0.3,0.3,2.0,0.3363398943860496,0.27383602986095923,1.90064520573875,-0.03379610177902615,0.03401316118075299,0.09438705454818754
4.615145921707153,0.3,0.3,2.0,0.3371398075944964,0.2736839860693382,1.9001674069490855,-0.034540021062881676,0.03421081810986034,0.09484096339836878
4.6598169803619385,0.3,0.3,2.0,0.33946145346900575,0.273225841563371,1.8992554945160915,-0.036699151726175355,0.03480640596761771,0.09570728020971303
4.715974807739258,0.3,0.3,2.0,0.33946145346900575,0.273225841563371,1.8992554945160915,-0.036699151726175355,0.03480640596761771,0.09570728020971303
4.757982015609741,0.3,0.3,2.0,0.34096799422481905,0.2714873860372629,1.8981298045960837,-0.03810023462908173,0.037066398151558204,0.09677668563372047
4.813979864120483,0.3,0.3,2.0,0.3413182030645306,0.27062441002610194,1.8956605407348062,-0.03842592885001346,0.03818826696606747,0.09912248630193414
4.8678131103515625,0.3,0.3,2.0,0.3431019917945182,0.26974952973521876,1.897902744695759,-0.04008485236890196,0.0393256113442156,0.09699239253902892
4.911423921585083,0.3,0.3,2.0,0.34392942536447724,0.2693157836863961,1.8984852322598915,-0.04085436558896384,0.03988948120768508,0.09643902935310306
4.968400239944458,0.3,0.3,2.0,0.34615719205394835,0.26825884266231065,1.902234433467264,-0.04292618861017198,0.041263504538996146,0.09287728820609914
